timestamp,route_short_name,position_longitude,position_latitude,time
2017-05-16 11:58:22.000 -07:00,026,-123.041015625,49.2252502441406,117
2017-05-16 11:58:54.000 -07:00,026,-123.041069030762,49.2242660522461,118
2017-05-16 12:00:32.000 -07:00,026,-123.045364379883,49.2443008422852,119
2017-05-16 12:01:37.000 -07:00,026,-123.041481018066,49.2160339355469,120
2017-05-16 12:02:42.000 -07:00,026,-123.045364379883,49.2443008422852,121
2017-05-16 12:04:52.000 -07:00,026,-123.043930053711,49.2445678710938,122
2017-05-16 12:06:29.000 -07:00,026,-123.047096252441,49.2393836975098,123
2017-05-16 12:07:01.000 -07:00,026,-123.025436401367,49.2154655456543,124
2017-05-16 12:08:06.000 -07:00,026,-123.025085449219,49.2166175842285,125
2017-05-16 12:09:11.000 -07:00,026,-123.024070739746,49.2174682617188,126
2017-05-16 12:10:49.000 -07:00,026,-123.042953491211,49.2286682128906,127
2017-05-16 12:11:54.000 -07:00,026,-123.026786804199,49.222484588623,128
2017-05-16 12:12:59.000 -07:00,026,-123.028984069824,49.2226333618164,129
2017-05-16 12:14:36.000 -07:00,026,-123.04118347168,49.2218017578125,130
2017-05-16 12:16:13.000 -07:00,026,-123.032279968262,49.2235832214355,131
2017-05-16 12:17:50.000 -07:00,026,-123.034370422363,49.2161483764648,132
2017-05-16 12:19:28.000 -07:00,026,-123.029716491699,49.2122344970703,133
2017-05-16 12:20:33.000 -07:00,026,-123.026969909668,49.2110481262207,134
2017-05-16 12:21:38.000 -07:00,026,-123.045364379883,49.2443008422852,135
2017-05-16 12:22:11.000 -07:00,026,-123.025085449219,49.2167816162109,136
2017-05-16 12:24:03.000 -07:00,026,-123.045364379883,49.2443008422852,137
2017-05-16 12:25:08.000 -07:00,026,-123.045166015625,49.2442817687988,138
2017-05-16 12:25:40.000 -07:00,026,-123.029014587402,49.2226181030273,139
2017-05-16 12:27:17.000 -07:00,026,-123.047218322754,49.2392654418945,140
2017-05-16 12:27:49.000 -07:00,026,-123.032386779785,49.2199516296387,141
2017-05-16 12:28:54.000 -07:00,026,-123.047218322754,49.2392654418945,142
2017-05-16 12:30:31.000 -07:00,026,-123.032165527344,49.2267837524414,143
2017-05-16 12:31:36.000 -07:00,026,-123.04313659668,49.2306327819824,144
2017-05-16 12:33:14.000 -07:00,026,-123.041397094727,49.2274513244629,145
2017-05-16 12:34:19.000 -07:00,026,-123.035598754883,49.2343826293945,146
2017-05-16 12:35:24.000 -07:00,026,-123.041069030762,49.2242164611816,147
2017-05-16 12:38:06.000 -07:00,026,-123.045997619629,49.2444839477539,148
2017-05-16 12:38:38.000 -07:00,026,-123.034317016602,49.2161178588867,149
2017-05-16 12:40:15.000 -07:00,026,-123.045364379883,49.2443008422852,150
2017-05-16 12:41:20.000 -07:00,026,-123.029716491699,49.2122344970703,151
2017-05-16 12:41:53.000 -07:00,026,-123.045364379883,49.2443008422852,152
2017-05-16 12:42:58.000 -07:00,026,-123.025146484375,49.2122993469238,153
2017-05-16 12:44:03.000 -07:00,026,-123.025466918945,49.2153511047363,154
2017-05-16 12:45:08.000 -07:00,026,-123.045219421387,49.2442817687988,155
2017-05-16 12:46:13.000 -07:00,026,-123.042770385742,49.2439002990723,156
2017-05-16 12:46:45.000 -07:00,026,-123.024719238281,49.2219505310059,157
2017-05-16 12:48:54.000 -07:00,026,-123.048233032227,49.2373313903809,158
2017-05-16 12:49:26.000 -07:00,026,-123.044868469238,49.236198425293,159
2017-05-16 12:51:03.000 -07:00,026,-123.032234191895,49.2252159118652,160
